Date,Actual_Temp,Predicted_Temp,Error
2022-10-20,27.5,29.71042715535137,-2.2104271553513684
2022-10-21,26.7,29.374979897149547,-2.674979897149548
2022-10-22,27.5,29.418398204525168,-1.9183982045251682
2022-10-23,27.0,28.371375939529372,-1.371375939529372
2022-10-24,27.4,27.84330316493425,-0.44330316493425315
2022-10-25,27.7,28.044238944725926,-0.34423894472592664
2022-10-26,27.0,28.631595482937218,-1.6315954829372181
2022-10-27,26.8,28.818549740416746,-2.018549740416745
2022-10-28,26.6,27.649847095443754,-1.0498470954437522
2022-10-29,27.3,27.553301167586497,-0.25330116758649623
2022-10-30,27.3,27.49112820202043,-0.19112820202042968
2022-10-31,26.9,28.871384419560716,-1.9713844195607173
2022-11-01,27.0,27.83852115100834,-0.8385211510083401
2022-11-02,28.3,29.060328508266007,-0.7603285082660065
2022-11-03,28.9,28.772393592563674,0.1276064074363248
2022-11-04,28.8,28.052862218989652,0.7471377810103483
2022-11-05,28.9,28.803350000841718,0.09664999915828076
2022-11-06,29.2,29.14688520522338,0.053114794776618623
2022-11-07,29.1,29.471358188158092,-0.37135818815809074
2022-11-08,29.4,29.61479308916094,-0.21479308916094197
2022-11-09,29.2,29.879161007573796,-0.6791610075737964
2022-11-10,28.7,27.782877597604788,0.9171224023952114
2022-11-11,29.0,28.287091516031644,0.7129084839683557
2022-11-12,28.8,28.741737368821205,0.05826263117879549
2022-11-13,28.9,28.88063648386653,0.019363516133466874
2022-11-14,29.9,29.747827826602844,0.1521721733971546
2022-11-15,29.4,30.076512248853412,-0.6765122488534132
2022-11-16,28.1,29.16085683514184,-1.0608568351418377
2022-11-17,28.3,29.276240367767404,-0.976240367767403
2022-11-18,27.5,28.089429741253312,-0.589429741253312
2022-11-19,26.5,28.15109388575715,-1.6510938857571489
2022-11-20,25.9,27.34876011214915,-1.4487601121491522
2022-11-21,26.2,28.091443116694524,-1.891443116694525
2022-11-22,28.2,28.831466639244645,-0.6314666392446462
2022-11-23,29.0,29.094650341423975,-0.09465034142397499
2022-11-24,29.6,29.340845284085734,0.2591547159142671
2022-11-25,29.8,29.61329605109435,0.18670394890565234
2022-11-26,29.7,30.08540390284144,-0.3854039028414391
2022-11-27,29.6,30.326093284817375,-0.7260932848173738
2022-11-28,29.5,29.311728734056196,0.18827126594380417
2022-11-29,30.1,29.135199013804858,0.9648009861951437
2022-11-30,29.0,28.6488301841748,0.3511698158252017
2022-12-01,28.4,28.53387341268502,-0.13387341268501984
2022-12-02,29.7,28.13397811370003,1.5660218862999677
2022-12-03,30.2,29.57496691562467,0.6250330843753282
2022-12-04,29.5,29.675631436615177,-0.175631436615177
2022-12-05,29.3,30.004187930072987,-0.7041879300729867
